sentence,options,answer,task,result,sentence_hidden
once upon a time there was a sweet little girl,"[['being', 'am', 'be', 'was', 'is', 'been']]",['was'],VERB,[],once upon a time there  ___  a sweet little girl
once she gave her a little cap made of red velvet,"[['gave', 'gives', 'give', 'giving', 'given'], ['made', 'make', 'making', 'makes']]","['gave', 'made']",VERB,[],once she  ___  her a little cap  ___  of red velvet
take them to your grandmother,"[['takes', 'taken', 'take', 'taking', 'took']]",['take'],VERB,[], ___  them to your grandmother
she is sick and weak and they will do her well,"[['do', 'doing', 'done', 'did', 'does']]",['do'],VERB,[],she is sick and weak and they will  ___  her well
mind your manners and give her my greetings,"[['minding', 'minds', 'mind', 'minded'], ['gave', 'gives', 'give', 'giving', 'given']]","['mind', 'give']",VERB,[], ___  your manners and  ___  her my greetings
the grandmother lived out in the woods a half hour from the village,"[['lives', 'lived', 'living', 'live']]",['lived'],VERB,[],the grandmother  ___  out in the woods a half hour from the village
when little red cap entered the woods a wolf came up to her,"[['entering', 'entered', 'enters', 'enter'], ['comes', 'came', 'come', 'coming']]","['entered', 'came']",VERB,[],when little red cap  ___  the woods a wolf  ___  up to her
there is a hedge of hazel bushes there,"[['being', 'am', 'be', 'was', 'is', 'been']]",['is'],VERB,[],there  ___  a hedge of hazel bushes there
just how are you going to catch her?,"[['goes', 'going', 'go', 'gone', 'went'], ['caught', 'catches', 'catching', 'catch']]","['going', 'catch']",VERB,[],just how are you  ___  to  ___  her?
why do not you go and take a look?,"[['goes', 'going', 'go', 'gone', 'went'], ['takes', 'taken', 'take', 'taking', 'took']]","['go', 'take']",VERB,[],why do not you  ___  and  ___  a look?
and i do not believe you can hear how beautifully the birds are singing,"[['believe', 'believes', 'believed', 'believing'], ['hear', 'hears', 'heard', 'hearing'], ['singe', 'singes', 'singed', 'singing']]","['believe', 'hear', 'singing']",VERB,[],and i do not  ___  you can  ___  how beautifully the birds are  ___ 
you are walking along as though you were on your way to school in the village,"[['walking', 'walk', 'walked', 'walks']]",['walking'],VERB,[],you are  ___  along as though you were on your way to school in the village
she thought if a take a bouquet to grandmother she will be very pleased,"[['thinks', 'think', 'thinking', 'thought'], ['takes', 'taken', 'take', 'taking', 'took']]","['thought', 'take']",VERB,[],she  ___  if a  ___  a bouquet to grandmother she will be very pleased
and she ran off into the woods looking for flowers,"[['runs', 'ran', 'running', 'run'], ['looked', 'looks', 'look', 'looking']]","['ran', 'looking']",VERB,[],and she  ___  off into the woods  ___  for flowers
but the wolf ran straight to the grandmother's house and knocked on the doorwho is there?little red cap,"[['runs', 'ran', 'running', 'run'], ['knock', 'knockes', 'knocking', 'knocked']]","['ran', 'knocked']",VERB,[],but the wolf  ___  straight to the g ___ dmother's house and  ___  on the doorwho is there?little red cap
i am bringing you some cake and wine,"[['brought', 'bringing', 'bring', 'brings']]",['bringing'],VERB,[],i am  ___  you some cake and wine
open the door for mejust press the latch called out the grandmother,"[['opened', 'opens', 'opening', 'open'], ['calls', 'calling', 'called', 'call']]","['open', 'called']",VERB,[], ___  the door for mejust press the latch  ___  out the grandmother
i am too weak to get upthe wolf pressed the latch and the door opened,"[['got', 'get', 'getting', 'gets'], ['pressing', 'press', 'pressed', 'presses'], ['opened', 'opens', 'opening', 'open']]","['get', 'pressed', 'opened']",VERB,[],i am too weak to  ___  upthe wolf  ___  the latch and the door  ___ 
he stepped inside went straight to the grandmother's bed and ate her up,"[['stepping', 'step', 'stepped', 'steps'], ['goes', 'going', 'go', 'gone', 'went'], ['eat', 'eating', 'ate', 'eaten', 'eats']]","['stepped', 'went', 'ate']",VERB,[],he  ___  inside  ___  straight to the grandmother's bed and  ___  her up
then he took her clothes put them on and put her cap on his head,"[['takes', 'taken', 'take', 'taking', 'took'], ['putting', 'put', 'puts'], ['putting', 'put', 'puts']]","['took', 'put', 'put']",VERB,[],then he  ___  her clothes  ___  them on and  ___  her cap on his head
when she arrived she found to her surprise that the door was open,"[['arrives', 'arrive', 'arriving', 'arrived'], ['find', 'found', 'finds', 'finding']]","['arrived', 'found']",VERB,[],when she  ___  she  ___  to her surprise that the door was open
i usually like it at grandmother's,"[['liked', 'liking', 'likes', 'like']]",['like'],VERB,[],i usually  ___  it at grandmother's
